,playerid,web_name,element_type,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
81,117.0,Buonanotte,3.0,47.0,11.0,0.016,0.1,0.11600000000000002,0.828,0.6967725641072132,2.273216266158,0.263693086874328,0.5769276830807726
82,118.0,Cozier-Duberry,3.0,45.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
83,119.0,Dahoud,3.0,49.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
84,120.0,Dunk,2.0,43.0,5.0,0.004,0.014000000000000002,0.018000000000000002,0.838,0.6971128791053882,2.2839596766701336,0.041111274180062406,0.5841805926903153
85,121.0,Enciso,3.0,54.0,10.0,0.11800000000000002,0.01,0.128,0.4699999999999999,0.5803817699756675,2.4014013125693334,0.3073793680088747,0.2727794318885637
86,122.0,Estupiñan,2.0,50.0,5.0,0.012,0.026000000000000002,0.038,0.702,0.6971128791053882,2.2839596766701336,0.08679046771346506,0.4893732411319825
87,123.0,Ferguson,4.0,55.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
88,124.0,Gilmour,3.0,50.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
89,125.0,Gross,3.0,65.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
90,126.0,Hinshelwood,3.0,49.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
91,127.0,I.Osman,3.0,50.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
92,129.0,João Pedro,4.0,56.0,5.0,0.254,0.06199999999999999,0.31599999999999995,1.072,0.6971128791053882,2.2839596766701336,0.721731257827762,0.7473050064009763
93,130.0,Kozlowski,3.0,45.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
94,132.0,March,3.0,65.0,5.0,0.014000000000000002,0.004,0.018000000000000002,0.076,0.6971128791053882,2.2839596766701336,0.041111274180062406,0.0529805788120095
95,133.0,Mazilu,3.0,45.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
96,134.0,Milner,3.0,50.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
97,135.0,Minteh,3.0,50.0,5.0,0.156,0.184,0.33999999999999997,0.406,0.6971128791053882,2.2839596766701336,0.7765462900678453,0.2830278289167876
98,136.0,Mitoma,3.0,63.0,5.0,0.20800000000000002,0.142,0.35,0.5599999999999999,0.6971128791053882,2.2839596766701336,0.7993858868345466,0.3903832122990174
99,137.0,Moder,3.0,44.0,5.0,0.0,0.10600000000000001,0.10600000000000001,0.02,0.6971128791053882,2.2839596766701336,0.24209972572703417,0.013942257582107764
100,138.0,O’Mahony,4.0,45.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
101,140.0,Peupion,3.0,44.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
102,141.0,Sarmiento,3.0,49.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
103,143.0,Undav,4.0,55.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
104,144.0,Van Hecke,2.0,45.0,5.0,0.036000000000000004,0.034,0.06999999999999999,1.072,0.6971128791053882,2.2839596766701336,0.15987717736690932,0.7473050064009763
105,145.0,Veltman,2.0,44.0,5.0,0.012,0.016,0.027999999999999994,0.716,0.6971128791053882,2.2839596766701336,0.06395087094676373,0.499132821439458
106,146.0,Verbruggen,1.0,45.0,5.0,0.0,0.0,0.0,1.072,0.6971128791053882,2.2839596766701336,0.0,0.7473050064009763
107,148.0,Welbeck,4.0,55.0,5.0,0.05799999999999999,0.002,0.05999999999999999,0.21800000000000003,0.6971128791053882,2.2839596766701336,0.13703758060020801,0.15197060764497466
108,149.0,Wieffer,3.0,47.0,5.0,0.0,0.0,0.0,0.0,0.6971128791053882,2.2839596766701336,0.0,0.0
109,150.0,Andrey Santos,3.0,45.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
110,151.0,Ângelo,3.0,45.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
111,156.0,Broja,4.0,54.0,8.0,0.022000000000000002,0.006,0.028000000000000004,0.44400000000000006,0.7477012663914506,2.254612534826,0.06312915097512801,0.3319793622778041
112,157.0,Caicedo,3.0,49.0,6.0,0.032,0.032,0.064,1.262,0.6155911502593543,2.3184758320984002,0.14838245325429758,0.7768760316273051
113,158.0,Casadei,3.0,44.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
114,161.0,Chukwuemeka,3.0,47.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
115,162.0,Colwill,2.0,45.0,6.0,0.01,0.033999999999999996,0.044,1.124,0.6155911502593543,2.3184758320984002,0.1020129366123296,0.6919244528915144
116,163.0,Cucurella,2.0,51.0,6.0,0.258,0.05999999999999999,0.31799999999999995,1.296,0.6155911502593543,2.3184758320984002,0.7372753146072911,0.7978061307361233
117,164.0,D.D.Fofana,4.0,54.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
118,165.0,Deivid,4.0,49.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
119,166.0,Dewsbury-Hall,3.0,55.0,6.0,0.044,0.028000000000000004,0.072,0.126,0.6155911502593543,2.3184758320984002,0.1669302599110848,0.07756448493267865
120,168.0,Enzo,3.0,49.0,6.0,0.10400000000000001,0.228,0.332,1.124,0.6155911502593543,2.3184758320984002,0.7697339762566688,0.6919244528915144
121,169.0,Gallagher,3.0,59.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
122,173.0,Kellyman,3.0,43.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
123,174.0,Lavia,3.0,45.0,6.0,0.0,0.002,0.002,0.194,0.6155911502593543,2.3184758320984002,0.004636951664196799,0.11942468315031475
124,175.0,Lukaku,4.0,63.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
125,177.0,Madueke,3.0,61.0,6.0,0.30599999999999994,0.144,0.45,0.692,0.6155911502593543,2.3184758320984002,1.04331412444428,0.4259890759794731
126,178.0,Marc Guiu,4.0,47.0,6.0,0.0,0.0,0.0,0.08399999999999999,0.6155911502593543,2.3184758320984002,0.0,0.05170965662178576
